microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
aksD	4.2.1.114	K16792	methanogen homoaconitase large subunit [EC:4.2.1.114] 
mddA	2.1.1.334	K21310	methanethiol S-methyltransferase [EC:2.1.1.334] 
msmB	1.14.13.111	K16969	methanesulfonate monooxygenase subunit beta [EC:1.14.13.111] 
msmA	1.14.13.111	K16968	methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111] 
pmoC-amoC		K10946	methane/ammonia monooxygenase subunit C 
pmoB-amoB		K10945	methane/ammonia monooxygenase subunit B 
pmoA-amoA	1.14.18.3;1.14.99.39	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39] 
mmoB		K16160	methane monooxygenase regulatory protein B 
mmoD		K16162	methane monooxygenase component D 
mmoC	1.14.13.25	K16161	methane monooxygenase component C [EC:1.14.13.25] 
mmoZ	1.14.13.25	K16159	methane monooxygenase component A gamma chain [EC:1.14.13.25] 
mmoY	1.14.13.25	K16158	methane monooxygenase component A beta chain [EC:1.14.13.25] 
mmoX	1.14.13.25	K16157	methane monooxygenase component A alpha chain [EC:1.14.13.25] 
butA	1.1.1.304;1.1.1.76;1.1.1.-	K03366	meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.304 1.1.1.76 1.1.1.-]
merT	1.A.72.1	K08363	mercuric ion transport protein
merC	1.A.72.4	K19058	mercuric ion transport protein
merE	1.A.72.5	K19059	mercuric ion transport protein
bfcA	1.10.2.-	K03886	menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]
petD		K03888	menaquinol-cytochrome c reductase cytochrome b/c subunit
petB_1		K03887	menaquinol-cytochrome c reductase cytochrome b subunit
mbhJ	1.12.7.2	K18023	membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]
mbhK	1.12.7.2	K18017	membrane-bound hydrogenase subunit beta [EC:1.12.7.2]
mbhL	1.12.7.2	K18016	membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]
dltB	2.A.50.2.1_P39580	K03739	membrane protein involved in D-alanine export
emrK	2.A.1.3.36_C5W790	K03543	membrane fusion protein, multidrug efflux system
bpeE	2.A.6.2	K18901	membrane fusion protein, multidrug efflux system
mexA	2.A.6.2.5_P43505;2.A.6.2.6_P52477;2.A.6.2.9_Q9WWZ9;2.A.6.2.23_Q6VV69	K03585	membrane fusion protein, multidrug efflux system
macA	3.A.1.122.1_P75830	K13888	membrane fusion protein, macrolide-specific efflux system
melB	2.A.2.1.2_B3W8U5	K11104	melibiose permease
mdh2	1.1.1.37	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37] 
mdh1	1.1.1.37	K00025	MDH1; malate dehydrogenase [EC:1.1.1.37] 
manA	5.3.1.8	K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]
attC	3.A.1.11.3	K11077	mannopine transport system substrate-binding protein
attA2	3.A.1.11.3	K11079	mannopine transport system permease protein
attB	3.A.1.11.3	K11078	mannopine transport system permease protein
attA1	3.A.1.11.3	K11080	mannopine transport system ATP-binding protein
uxuA	4.2.1.8	K01686	mannonate dehydratase [EC:4.2.1.8]
troA	3.A.1.15.8	K11707	manganese/zinc/iron transport system substrate-binding protein
troC	3.A.1.15.8	K11708	manganese/zinc/iron transport system permease protein
troD	3.A.1.15.8	K11709	manganese/zinc/iron transport system permease protein
troB	3.A.1.15.8	K11710	manganese/zinc/iron transport system ATP- binding protein
mnS	3.A.1.15	K09818	manganese/iron transport system substrate-binding protein
sitA	3.A.1.15.7;3.A.1.15.9	K11604	manganese/iron transport system substrate-binding protein
mnP	3.A.1.15	K09819	manganese/iron transport system permease protein
sitC	3.A.1.15.7;3.A.1.15.9	K11605	manganese/iron transport system permease protein
sitD	3.A.1.15.7;3.A.1.15.9	K11606	manganese/iron transport system permease protein
mnA	3.A.1.15	K09820	manganese/iron transport system ATP-binding protein
sitB	3.A.1.15.7;3.A.1.15.9	K11607	manganese/iron transport system ATP-binding protein
psaB	3.A.1.15.2;3.A.1.15.14	K10830	manganese-transporting ATPase [EC:3.6.3.35]
ppaC	3.6.1.1	K15986	manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]
mntC1	3.A.1.15.1	K11601	manganese transport system substrate-binding protein
mntB1	3.A.1.15.1	K11602	manganese transport system permease protein
mntA1	3.A.1.15.1	K11603	manganese transport system ATP-binding protein
mntH	2.A.55.2.6;2.A.55.3	K03322	manganese transport protein
mcl	4.1.3.24;4.1.3.25	K08691	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25] 
malY	2.A.2.6.2_Q9A612;2.A.2.6.3_Q8EEC4	K16211	maltose/maltooligosaccharide transporter
malE	3.A.1.1.1_P0AEX9;3.A.1.1.22_Q9S5Y1;3.A.1.1.22_Q9X0T1	K10108	maltose/maltodextrin transport system substrate-binding protein
malF	3.A.1.1.1_P02916;3.A.1.1.22_Q9X0T0	K10109	maltose/maltodextrin transport system permease protein
malG	3.A.1.1.1_P68183;3.A.1.1.22_Q9X0S9;3.A.1.1.22_Q9X2F5	K10110	maltose/maltodextrin transport system permease protein
treS1	5.4.99.16;3.2.1.1	K05343	maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
lamB	1.B.3.1.1_P02943;1.B.3.1.4_F5ZA77	K02024	maltoporin
asd1	1.2.1.75;1.2.1.76	K15017	malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76] 
mcr	1.2.1.75;1.1.1.298	K14468	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298] 
msr	1.1.1.-	K18602	malonic semialdehyde reductase [EC:1.1.1.-] 
mdcF	2.A.69.3.3_O32715	K13936	malonate transporter
maeN	2.A.24.2.3_O05256	K11616	malate:Na+ symporter
mtkA	6.2.1.9	K14067	malate-CoA ligase subunit beta [EC:6.2.1.9] 
mtkB	6.2.1.9	K08692	malate-CoA ligase subunit alpha [EC:6.2.1.9] 
mdh	1.1.1.37	K00024	malate dehydrogenase [EC:1.1.1.37] 
ompA	1.B.2.1.1_P10332	K03162	major outer membrane protein
mgtE	1.A.26.1;1.A.26.2;1.A.26.3	K06213	magnesium transporter
corA	1.A.35.1;1.A.35.3	K03284	magnesium transporter
macB	3.A.1.122.1_P75831;3.A.1.122.12	K05685	macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]
arg1	3.A.1.3.23	K23055	lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein
arg2	3.A.1.3.23	K23056	lysine/arginine/ornithine/histidine/octopine transport system permease protein
arg3	3.A.1.3.23	K23057	lysine/arginine/ornithine/histidine/octopine transport system permease protein
arg4	3.A.1.3.23	K23058	lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]
argT	3.A.1.3.11_O50181;3.A.1.3.1_P09551;3.A.1.3.29_P09551;3.A.1.3.29_P0AEU0	K10013	lysine/arginine/ornithine transport system substrate-binding protein
lysP	2.A.3.1.18_K7VV21;2.A.3.1.2_P25737	K11733	lysine-specific permease
lptD	1.B.42.1.12_L0KAJ8;1.B.42.1.1_Q9K187;1.B.42.1.2_P31554;1.B.42.1.3_Q1D8U8;1.B.42.1.4_Q215S1;1.B.42.1.5_E8QT47;1.B.42.1.6_B4U7L6;1.B.42.1.9_B3DWJ6	K04744	LPS-assembly protein
lptE	1.B.42.1.2_P0ADC1	K03643	LPS-assembly lipoprotein
cofD	2.7.8.28	K11212	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28] 
pit	2.A.20.1	K16322	low-affinity inorganic phosphate transporter
tnaB	2.A.42.1.3_P23173	K03836	low affinity tryptophan permease
fadL	1.B.9	K06076	long-chain fatty acid transport protein
lolC_E	3.A.1.125.1_P0ADC3;3.A.1.125.1_P75958	K09808	lipoprotein-releasing system permease protein
lolD	3.A.1.125.1_P75957	K09810	lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]
lbp	1.C.40.1.2	K05399	lipopolysaccharide-binding protein
lpseP	3.A.1.103.1_Q48475;3.A.1.103.4_Q1D3I2;3.A.1.103.6_Q9HTB8	K09690	lipopolysaccharide transport system permease protein
lpseA	3.A.1.103.1_Q48476;3.A.1.103.4_Q1D3I3;3.A.1.103.6_Q9I3V8	K09691	lipopolysaccharide transport system ATP-binding protein
wzxC	2.A.66.2.7_P77377	K16695	lipopolysaccharide exporter
lptC	1.B.42.1.2_P0ADW0	K11719	lipopolysaccharide export system protein LptC
lptA	1.B.42.1.2_P0ADV1	K09774	lipopolysaccharide export system protein LptA
lptG	1.B.42.1.2_P0ADC6;3.A.1.152.1_Q9HXH5	K11720	lipopolysaccharide export system permease protein
lptF	1.B.42.1.2_P0AF98;3.A.1.152.1_Q9HXH4;3.A.1.152.3_Q5SL96	K07091	lipopolysaccharide export system permease protein
lptB	1.B.42.1.2_P0A9V1;3.A.1.142.1_Q8DNB9;3.A.1.152.1_Q9HVV6	K06861	lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
nodJ	3.A.1.102.1_P50333	K09694	lipooligosaccharide transport system permease protein
nodI	3.A.1.102.1_P50332	K09695	lipooligosaccharide transport system ATP-binding protein
leuE	2.A.76.1.5_P76249	K11250	leucine efflux protein
ldh	1.1.1.27	K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27] 
mscL	1.A.22.1.1_P0A742;1.A.22.1.3_P94585	K03282	large conductance mechanosensitive channel
lacS	2.A.2.2.1_P23936;2.A.2.2.2_P43466	K16209	lactose/raffinose/galactose permease
lacE	3.A.1.1.4_P29822	K10188	lactose/L-arabinose transport system substrate-binding protein
lacF	3.A.1.1.4_P29823	K10189	lactose/L-arabinose transport system permease protein
lacG	3.A.1.1.4_P29824	K10190	lactose/L-arabinose transport system permease protein
lacK	3.A.1.1.4_Q01937	K10191	lactose/L-arabinose transport system ATP-binding protein
lctP2	2.A.14.1.2_Q46839;2.A.14.1.3_P71067	K03303	lactate permease
ttdT	2.A.47.3.3_P39414	K11106	L-tartrate/succinate antiporter
rhaT2	2.A.7.6.1_P27125;2.A.7.6.2_M5UGY9;2.A.7.6.3_I3CAS8	K02856	L-rhamnose-H+ transport protein
lysE	2.A.75.1.1_P94633;2.A.75.1.2_P11667;2.A.75.1.3_P64711	K06895	L-lysine exporter family protein LysE/ArgO
lctP1	2.A.14.1.1_P33231;2.A.14.1.3_P71067	K00427	L-lactate permease
lldG		K00782	L-lactate dehydrogenase complex protein LldG
lldF		K18929	L-lactate dehydrogenase complex protein LldF
lldE		K18928	L-lactate dehydrogenase complex protein LldE
fucA	4.1.2.17	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]
fucK	2.7.1.51	K00879	L-fuculokinase [EC:2.7.1.51]
fucI	5.3.1.25;5.3.1.3	K01818	L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]
tcyJ	3.A.1.3.13	K16956	L-cystine transport system substrate-binding protein
tcyK	3.A.1.3.13	K16957	L-cystine transport system substrate-binding protein
tcyL	3.A.1.3.13	K16958	L-cystine transport system permease protein
tcyM	3.A.1.3.13	K16959	L-cystine transport system permease protein
tcyN	3.A.1.3.13	K16960	L-cystine transport system ATP-binding protein [EC:3.6.3.-]
soxA	2.8.5.2	K17222	L-cysteine S-thiosulfotransferase [EC:2.8.5.2] 
soxX	2.8.5.2	K17223	L-cysteine S-thiosulfotransferase [EC:2.8.5.2] 
caiT	2.A.15.2	K05245	L-carnitine/gamma-butyrobetaine antiporter
ansP	2.A.3.1.24_P77610;2.A.3.1.8_P40812	K11738	L-asparagine permease
araF	3.A.1.2.2_P02924	K10537	L-arabinose transport system substrate-binding protein
araH	3.A.1.2.2_P0AE26	K10538	L-arabinose transport system permease protein
araG	3.A.1.2.2_P0AAF3	K10539	L-arabinose transport system ATP-binding protein [EC:3.6.3.17]
comC	1.1.1.337	K05884	L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337] 
kup	2.A.72	K03549	KUP system potassium uptake protein
oforD	1.2.7.3	K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] 
oforC	1.2.7.3	K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] 
fbpap	4.1.2.13;3.1.3.11	K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] 
hppA		K15987	K(+)-stimulated pyrophosphate-energized sodium pump
iorB	1.3.99.16	K07303	isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
iorA	1.3.99.16	K07302	isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
isopadh	1.1.1.80	K23259	isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]
aceA	4.1.3.1	K01637	isocitrate lyase [EC:4.1.3.1]
mtsA	3.A.1.15.6	K11704	iron/zinc/copper transport system substrate-binding protein
mtsC	3.A.1.15.6	K11705	iron/zinc/copper transport system permease protein
mtsB	3.A.1.15.6	K11706	iron/zinc/copper transport system ATP-binding protein
afuA	3.A.1.20.2_Q9KLQ7;3.A.1.10.4_Q82VN7;3.A.1.10.5_Q56925	K02012	iron(III) transport system substrate-binding protein
afuB	3.A.1.20.2_Q9KLQ6;3.A.1.10.4_Q82VN6;3.A.1.10.5_Q56926	K02011	iron(III) transport system permease protein
afuC	3.A.1.1.14_Q97UF2;3.A.1.20.2_Q9KLQ5;3.A.1.10.4_Q82VN5;3.A.1.10.5_A1JLH0;3.A.1.19.2_Q73RE4	K02010	iron(III) transport system ATP-binding protein [EC:3.6.3.30]
fhuC	3.A.1.14.3;3.A.1.14.12	K10829	iron-chelate-transporting ATPase [EC:3.6.3.34]
efeO	2.A.108.2.3	K07224	iron uptake system component EfeO
fevS	3.A.1.13.2_A9WCZ4;3.A.1.14.13_Q9RK12;3.A.1.14.14_Q9A198;3.A.1.14.15_P40409;3.A.1.14.1_P15028;3.A.1.14.2_C8U2V6;3.A.1.14.3_P07822;3.A.1.14.4_Q47084;3.A.1.14.6_Q9RCF6;3.A.1.14.7_Q93PN3;3.A.1.14.7_Q99RY8;3.A.1.14.8_Q8GRB3	K02016	iron complex transport system substrate-binding protein
fevP	3.A.1.13.2_A9WCZ6;3.A.1.14.13_Q9RK09;3.A.1.14.13_Q9RK10;3.A.1.14.14_Q06A41;3.A.1.14.14_Q9A199;3.A.1.14.15_P40410;3.A.1.14.15_P40411;3.A.1.14.1_P15029;3.A.1.14.1_P15030;3.A.1.14.2_P23876;3.A.1.14.2_P23877;3.A.1.14.3_P06972;3.A.1.14.4_Q47085;3.A.1.14.4_Q47086;3.A.1.14.6_Q9RCF4;3.A.1.14.6_Q9RCF5;3.A.1.14.7_Q9X664;3.A.1.14.8_Q8GRB1;3.A.1.14.8_Q8GRB2	K02015	iron complex transport system permease protein
fevA	3.A.1.13.2_A9WCZ7;3.A.1.14.13_Q9RK11;3.A.1.14.14_Q9A197;3.A.1.14.1_P15031;3.A.1.14.2_P23878;3.A.1.14.3_P07821;3.A.1.14.4_Q47087;3.A.1.14.6_Q9RCF3;3.A.1.14.7_Q9X665;3.A.1.14.8_Q8GRB0	K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]
tc.fev	1.B.14.12.1_Q9A608;1.B.14.12.2_Q9AAZ6;1.B.14.6.1_Q45780;1.B.14.1.10_Q82VI7;1.B.14.1.11_P11461;1.B.14.1.12_Q9HXB2;1.B.14.1.15_Q05202;1.B.14.1.17_Q01674;1.B.14.1.21_B6R297;1.B.14.1.26_Q8G8W9;1.B.14.1.7_A4LBD1;1.B.14.14.1_Q8A552;1.B.14.8.2_Q2M5P4;1.B.14.9.3_Q7CGN6	K02014	iron complex outermembrane recepter protein
inoE	3.A.1.1.38	K17237	inositol-phosphate transport system substrate-binding protein
inoF	3.A.1.1.38	K17238	inositol-phosphate transport system permease protein
inoG	3.A.1.1.38	K17239	inositol-phosphate transport system permease protein
inoK	3.A.1.1.13_Q97UY8;3.A.1.1.14_Q97UF2	K17240	inositol-phosphate transport system ATP-binding protein
ibpA2	3.A.1.2	K17213	inositol transport system substrate-binding protein
ibpA1	3.A.1.2.21	K17208	inositol transport system substrate-binding protein
iatP2	3.A.1.2	K17214	inositol transport system permease protein
iatP1	3.A.1.2.21	K17209	inositol transport system permease protein
iatA2	3.A.1.2	K17215	inositol transport system ATP-binding protein
iatA1	3.A.1.2.21	K17210	inositol transport system ATP-binding protein
ppa	3.6.1.1	K01507	inorganic pyrophosphatase [EC:3.6.1.1]
rhtA	2.A.7.3.6_P0AA67	K11939	inner membrane transporter RhtA
oprD	1.B.25.1.11_Q9I0E2;1.B.25.1.12_Q9I6X0;1.B.25.1.1_P32722;1.B.25.1.32_B7V849;1.B.25.1.7_Q9I202;1.B.25.1.8_Q9HUR5	K18093	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
idh3	1.1.1.41	K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 
icd	1.1.1.42	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42] 
hao	1.7.2.6	K10535	hydroxylamine dehydrogenase [EC:1.7.2.6]
phaZ2	3.1.1.22	K07518	hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]
TC.HAE1	2.A.6.3.1_P25197;2.A.6.3.2_A9CGX6;2.A.6.3.3_E8PBU7;2.A.6.3.4_Q1DEX6;2.A.6.3.6_Q8CX78;2.A.6.2.23_Q6VV68	K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
hzsA	1.7.2.7	K20934	hydrazine synthase subunit [EC:1.7.2.7]
hzsB	1.7.2.7	K20933	hydrazine synthase subunit [EC:1.7.2.7]
hzsC	1.7.2.7	K20932	hydrazine synthase subunit [EC:1.7.2.7]
hdh	1.7.2.8	K20935	hydrazine dehydrogenase [EC:1.7.2.8]
rhtB	2.A.76.1.1_P0AG34	K05834	homoserine/homoserine lactone efflux protein
metA	2.3.1.46;2.3.1.31	K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31] 
metX	2.3.1.31;2.3.1.46	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46] 
devB	3.A.1.114.1_Q7A2B0	K02005	HlyD family secretion protein
hk	2.7.1.1	K00844	HK; hexokinase [EC:2.7.1.1] 
hutT	2.A.3.1.9_O31199	K16234	histidine transporter
hisJ	3.A.1.3.11_O50181;3.A.1.3.1_P09551;3.A.1.3.29_P09551;3.A.1.3.29_P0AEU0	K10014	histidine transport system substrate-binding protein
hisQ	3.A.1.3.11_O50182;3.A.1.3.1_P0A2I9;3.A.1.3.29_P52094	K10016	histidine transport system permease protein
hisM	3.A.1.3.11_O50183;3.A.1.3.1_P0A2I7;3.A.1.3.29_P0AEU3	K10015	histidine transport system permease protein
hisP	3.A.1.3.11_O30506;3.A.1.3.1_P02915;3.A.1.3.29_P07109	K10017	histidine transport system ATP-binding protein [EC:3.6.3.21]
hutM	2.A.3.1	K16236	histidine permease
nixA	2.A.52.1	K07241	high-affinity nickel-transport protein
gntP	2.A.8.1.3_P0AC94	K16321	high-affinity gluconate transporter
hicdh	1.1.1.286	K17753	HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286] 
hdrE	1.8.98.1	K08265	heterodisulfide reductase subunit E [EC:1.8.98.1] 
hdrD	1.8.98.1	K08264	heterodisulfide reductase subunit D [EC:1.8.98.1] 
hdrC2	1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6	K03390	heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] 
hdrC1	1.8.7.3	K22482	heterodisulfide reductase subunit C1 [EC:1.8.7.3] 
hdrB2	1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6	K03389	heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] 
hdrB1	1.8.7.3	K22481	heterodisulfide reductase subunit B1 [EC:1.8.7.3] 
hdrA2	1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6	K03388	heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] 
hdrA1	1.8.7.3	K22480	heterodisulfide reductase subunit A1 [EC:1.8.7.3] 
hmeD		K18501	heterodisulfide reductase iron-sulfur subunit
hmeC		K18500	heterodisulfide reductase cytochrome b-like subunit
hrtB	3.A.1	K09813	hemin transport system permease protein
hrtA	3.A.1	K09814	hemin transport system ATP-binding protein [EC:3.6.3.-]
cyoE	2.5.1.141	K02257	heme o synthase [EC:2.5.1.141]
ccmD	3.A.1.107	K02196	heme exporter protein D
ccmC	3.A.1.107	K02195	heme exporter protein C
ccmB	3.A.1.107	K02194	heme exporter protein B
ccmA	3.A.1.107	K02193	heme exporter protein A [EC:3.6.3.41]
hasR	1.B.14.7.1	K16152	heme acquisition protein HasR
hasA	1.B.14.5	K12545	heme acquisition protein HasA
h6pd	1.1.1.47;3.1.1.31	K13937	H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] 
atp4abeta	7.2.2.19	K01543	H+/K+-exchanging ATPase subunit beta [EC:7.2.2.19]
atp4aalpha	7.2.2.19	K01542	H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]
pma	7.1.2.1	K01535	H+-transporting ATPase [EC:7.1.2.1]
gpmI	5.4.2.12	K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 
pgi	5.3.1.9	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9] 
gesB	2.A.6.2.25;2.A.6.2.34	K19594	gold/copper resistance efflux pump
idnT	2.A.8.1.2	K06157	Gnt-II system L-idonate transporter
gntU	2.A.8.1.8	K06156	Gnt-I system low-affinity gluconate transporter
gntT	2.A.8.1.4	K06155	Gnt-I system high-affinity gluconate transporter
tc.gph	2.A.2.3.12_Q745T8;2.A.2.3.7_Q0HIQ0	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family
glycA	2.A.14.1.2_Q46839;2.A.14.1.3_P71067	K02550	glycolate permease
glyA	2.1.2.1	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1] 
proX	3.A.1.12.12_Q9HTH6;3.A.1.12.12_Q9HTI6;3.A.1.12.12_Q9HZ04;3.A.1.12.1_P0AFM2;3.A.1.12.2_P46921;3.A.1.12.2_P46922;3.A.1.12.5_Q9RQ05;3.A.1.12.6_Q9KKE3;3.A.1.12.9_Q8U4S3	K02002	glycine betaine/proline transport system substrate-binding protein
proW	3.A.1.12.12_Q9HTI7;3.A.1.12.1_P14176;3.A.1.12.2_P46921;3.A.1.12.6_Q9KKE2;3.A.1.12.9_Q8U4S4	K02001	glycine betaine/proline transport system permease protein
proV	3.A.1.12.12_Q9HTI8;3.A.1.12.1_P14175;3.A.1.12.2_P46920;3.A.1.12.5_Q9RQ06;3.A.1.12.6_Q9KKE1;3.A.1.12.9_Q8U4S5	K02000	glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
betL	2.A.15.1.11_Q9X4A5;2.A.15.1.1_P54417	K05020	glycine betaine transporter
glpF	1.A.8.1.1_P0AER0;1.A.8.13.2_Q9C4Z5;1.A.8.2.1_P18156;1.A.8.2.2_P22094;1.A.8.2.3_P52280;1.A.8.2.4_C6VJ63;1.A.8.2.5_D7V7W8;1.A.8.2.6_D7V8E7;1.A.8.2.7_D7VEY8;1.A.8.2.8_D7VC84;1.A.8.2.9_D0JBC9	K02440	glycerol uptake facilitator protein
glpV	3.A.1.1.35_G3LHZ3	K17321	glycerol transport system substrate-binding protein
glpP	3.A.1.1.35_G3LHZ0	K17322	glycerol transport system permease protein
glpQ	3.A.1.1.35_G3LHZ1	K17323	glycerol transport system permease protein
glpS	3.A.1.1.35_G3LHY8	K17324	glycerol transport system ATP-binding protein
glpT	3.A.1.1.35_G3LHY9	K17325	glycerol transport system ATP-binding protein
gldA	1.1.1.6	K00005	glycerol dehydrogenase [EC:1.1.1.6]
dhbE	4.2.1.30	K06122	glycerol dehydratase small subunit [EC:4.2.1.30]
dhaC	4.2.1.30	K06121	glycerol dehydratase medium subunit [EC:4.2.1.30]
dhaB	4.2.1.30	K06120	glycerol dehydratase large subunit [EC:4.2.1.30]
hprA	1.1.1.29	K00018	glycerate dehydrogenase [EC:1.1.1.29] 
gck	2.7.1.165	K11529	glycerate 2-kinase [EC:2.7.1.165] 
gapdhs	1.2.1.12	K10705	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]
gapA.NADP+	1.2.1.59	K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] 
gapA.NAD+	1.2.1.12	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 
fdhA	1.2.1.46	K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] 
gsiB	3.A.1.5.11	K13889	glutathione transport system substrate-binding protein
gsiC	3.A.1.5.11	K13890	glutathione transport system permease protein
gsiD	3.A.1.5.11	K13891	glutathione transport system permease protein
gsiA	3.A.1.5.11	K13892	glutathione transport system ATP-binding protein
glnH	3.A.1.3.2_P0AEQ3	K10036	glutamine transport system substrate-binding protein
glnP	3.A.1.3.2_P0AEQ6	K10037	glutamine transport system permease protein
glnQ	3.A.1.3.2_P10346	K10038	glutamine transport system ATP-binding protein [EC:3.6.3.-]
glnA	6.3.1.2	K01915	glutamine synthetase [EC:6.3.1.2]
gltI	3.A.1.3.19_Q88NY2;3.A.1.3.22_Q9I402;3.A.1.3.4_P37902	K10001	glutamate/aspartate transport system substrate-binding protein
gltJ	3.A.1.3.19_Q88NY3;3.A.1.3.22_Q9I403;3.A.1.3.4_P0AER3	K10003	glutamate/aspartate transport system permease protein
gltK	3.A.1.3.19_Q88NY4;3.A.1.3.22_Q9I404;3.A.1.3.4_P0AER5	K10002	glutamate/aspartate transport system permease protein
gltL	3.A.1.3.19_Q88NY5;3.A.1.3.22_Q9I405;3.A.1.3.4_P0AAG3	K10004	glutamate/aspartate transport system ATP-binding protein [EC:3.6.3.-]
gltS2	2.A.27.1.1_P0AER8;2.A.27.1.2_P73275;2.A.27.1.3_Q9HZ58;2.A.27.2.1_B1XKD9;2.A.27.2.2_M1QJN9	K03312	glutamate:Na+ symporter, ESS family
gadC	2.A.3.7.1;2.A.3.7.3	K20265	glutamate:GABA antiporter
gluB	3.A.1.3.9_P48242	K10005	glutamate transport system substrate-binding protein
gluC	3.A.1.3.9_P48244	K10006	glutamate transport system permease protein
gluD	3.A.1.3.9_P48245	K10007	glutamate transport system permease protein
gluA	3.A.1.3.9_P48243	K10008	glutamate transport system ATP-binding protein [EC:3.6.3.-]
gltD	1.4.1.13	K00266	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
gltB	1.4.1.13	K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
gltS1	1.4.7.1	K00284	glutamate synthase (ferredoxin) [EC:1.4.7.1]
gdh2	1.4.1.2	K15371	glutamate dehydrogenase [EC:1.4.1.2]
gudB	1.4.1.2	K00260	glutamate dehydrogenase [EC:1.4.1.2]
gdhA_2	1.4.1.4	K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
gdhA_1	1.4.1.3	K00261	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
uidB	2.A.2	K16139	glucuronide carrier protein
uxaC	5.3.1.12	K01812	glucuronate isomerase [EC:5.3.1.12]
